ID;NL description;FRETish;LTL;
FUN.28;In PCV and PSV mode there shall be the possibility to press a single button to initiate an Expiratory Pause that closes both inspiratory and expiratory valve at the end of the expiration phase as long as the operator holds the button but no longer than 60 sec;when expiratoryPauseButton & (ExpiratoryPhaseEnd) System shall until buttonUnPressOr60Seconds satisfy expirationPhaseEnd & inValveClose & outValveClose;(H ((H (! (expiratoryPauseButton & ExpiratoryPhaseEnd))) | (((! buttonUnPressOr60Seconds) S ((! buttonUnPressOr60Seconds) & ((expiratoryPauseButton & ExpiratoryPhaseEnd) & (Z (! (expiratoryPauseButton & ExpiratoryPhaseEnd)))))) -> ((expirationPhaseEnd & inValveClose) & outValveClose))));
FUN.29;In PCV and PSV mode there shall be the possibility to press a single button to initiate an Inspiratory Pause (IP) that closes both inspiratory and expiratory valve at the end of the inspiratory phase as long as the operator holds the button but no longer than 40 sec;while inspiratoryPauseButton when (inspiratoryPhaseEnd) System shall for 40 seconds satisfy (inspiratoryPauseButton => inValveClose & outValveClose);((H (((! inspiratoryPauseButton) & (Y inspiratoryPauseButton)) -> (Y (((O[0,40] (inspiratoryPhaseEnd & ((Y (! inspiratoryPhaseEnd)) | (inspiratoryPauseButton & (Z (! inspiratoryPauseButton)))))) -> (((! inspiratoryPhaseEnd) S ((! inspiratoryPhaseEnd) & (inspiratoryPauseButton & (Z (! inspiratoryPauseButton))))) | (inspiratoryPauseButton -> (inValveClose & outValveClose)))) S (((O[0,40] (inspiratoryPhaseEnd & ((Y (! inspiratoryPhaseEnd)) | (inspiratoryPauseButton & (Z (! inspiratoryPauseButton)))))) -> (((! inspiratoryPhaseEnd) S ((! inspiratoryPhaseEnd) & (inspiratoryPauseButton & (Z (! inspiratoryPauseButton))))) | (inspiratoryPauseButton -> (inValveClose & outValveClose)))) & (inspiratoryPauseButton & (Z (! inspiratoryPauseButton)))))))) & (((! ((! inspiratoryPauseButton) & (Y inspiratoryPauseButton))) S ((! ((! inspiratoryPauseButton) & (Y inspiratoryPauseButton))) & (inspiratoryPauseButton & (Z (! inspiratoryPauseButton))))) -> (((O[0,40] (inspiratoryPhaseEnd & ((Y (! inspiratoryPhaseEnd)) | (inspiratoryPauseButton & (Z (! inspiratoryPauseButton)))))) -> (((! inspiratoryPhaseEnd) S ((! inspiratoryPhaseEnd) & (inspiratoryPauseButton & (Z (! inspiratoryPauseButton))))) | (inspiratoryPauseButton -> (inValveClose & outValveClose)))) S (((O[0,40] (inspiratoryPhaseEnd & ((Y (! inspiratoryPhaseEnd)) | (inspiratoryPauseButton & (Z (! inspiratoryPauseButton)))))) -> (((! inspiratoryPhaseEnd) S ((! inspiratoryPhaseEnd) & (inspiratoryPauseButton & (Z (! inspiratoryPauseButton))))) | (inspiratoryPauseButton -> (inValveClose & outValveClose)))) & (inspiratoryPauseButton & (Z (! inspiratoryPauseButton)))))));
FUN.30;The high-level operation sequence shall follow the scheme shown in Figure 2.1;System shall always satisfy if StartUpMode then (if newPatient then SelfTestMode & if !newPatient then StandbyMode) & if SelfTestMode then (if selfTestPassed then StandbyMode) & if StandbyMode then (if startPCV then PCVMode & if startPSV then PSVMode & if runSelfTest then SelfTestMode) & if error then FailSafeMode & if powerOff then off;(H (StartUpMode -> (((newPatient -> ((SelfTestMode & (! newPatient)) -> StandbyMode)) & SelfTestMode) -> (((selfTestPassed -> StandbyMode) & StandbyMode) -> (((startPCV -> ((PCVMode & startPSV) -> ((PSVMode & runSelfTest) -> SelfTestMode))) & error) -> ((FailSafeMode & powerOff) -> off))))));
FUN.31;Any normal operating mode or identified failure mode of the system and its components shall always result in a state of the system that is safe for the patient.;System shall always satisfy patientSafe;(H patientSafe);
FUN.32;In a worst-case failure, the controller shall leave the system in a state that allows the patient to inhale and exhale unimpeded.;in FailSafeMode System shall always satisfy patientSafe;(H (FailSafeMode -> patientSafe));
FUN.33;Any power failure shall leave the system in a state that allows the patient to inhale and exhale unimpeded.;if powerFailure System shall at the next timepoint satisfy patientSafe;(H ((Y (powerFailure & (Z (! powerFailure)))) -> (patientSafe | (! (Y TRUE)))));
FUN.34;Any failure of the gas supply shall leave the system in a state that allows the patient to inhale and exhale unimpeded.;if gasSupplyFailure System shall at the next timepoint satisfy patientSafe;(H ((Y (gasSupplyFailure & (Z (! gasSupplyFailure)))) -> (patientSafe | (! (Y TRUE)))));
FUN.37;The system shall have an internal power source that allows operation for 120 minutes past the failure of the external power source.;if powerFailure System shall for 120 minutes satisfy !off;(H ((O[0,120] (powerFailure & (Z (! powerFailure)))) -> ((H (! powerFailure)) | (! off))));
FUN.38.1;The system shall raise an alarm when a parameter value goes outside the range defined for its associated alarm.;if param_V > paramMax_V | param_V < paramMin_V System shall at the next timepoint satisfy paramAlarm_V;(H ((Y (((param_V > paramMax_V) | (param_V < paramMin_V)) & (Z (! ((param_V > paramMax_V) | (param_V < paramMin_V)))))) -> (paramAlarm_V | (! (Y TRUE)))));
FUN.39;The system shall prompt the user before ventilation is started to enter user-controlled alarm thresholds for SAV.3- SAV.9;before PSVMode | PCVMode System shall eventually satisfy enterAlarmThresholds;((H (((((PSVMode | PCVMode) & (Z (! (PSVMode | PCVMode)))) & (Z (H (! (PSVMode | PCVMode))))) & (Y TRUE)) -> (Y (O enterAlarmThresholds)))) & ((H (! (((PSVMode | PCVMode) & (Z (! (PSVMode | PCVMode)))) & (Z (H (! (PSVMode | PCVMode))))))) -> (O enterAlarmThresholds)));
FUN.40;The system shall react to the inspiratory airway pressure at the patient being exceeded (Max Pinsp alarm SAV.4) (e.g. by coughing) by truncating the inspiratory phase and immediately transitioning to expiration, quickly relieving the pressure.;if P_insp > MaxP_insp System shall at the next timepoint satisfy inspiratoryPhaseEnd & expirationPhaseStart;(H ((Y ((P_insp > MaxP_insp) & (Z (! (P_insp > MaxP_insp))))) -> ((inspiratoryPhaseEnd & expirationPhaseStart) | (! (Y TRUE)))));
FUN.41;A failure of the GUI (e.g. GUI freezes) or a loss of communication between the GUI and the Controller shall raise a high-priority alarm and any ongoing ventilation process shall not be interrupted.;if GUIFailure | !GUIConnected System shall at the next timepoint satisfy ventilating & highPriorityAlarm;(H ((Y ((GUIFailure | (! GUIConnected)) & (Z (! (GUIFailure | (! GUIConnected)))))) -> ((ventilating & highPriorityAlarm) | (! (Y TRUE)))));
CONT.1;The controller shall implement the following modes (see Figure 4.1):;Controller shall always satisfy StartUpMode | SelfTestMode | StandbyMode | PCVMode | PSVMode | FailSafeMode;CONT20: (H (PCVMode -> ((breathingCycleTime = (1 / RR_PCV)) & (ExpiratoryTime = (breathingCycleTime / (1 + ItoE_PCV))))));
CONT.1.1;Start-up Mode: In start-up mode the controller initializes itself with default configuration parameters (if any), checks the system memory and the communication of the controller with the sensors and valves, as well as between the controller and the GUI. Start-up mode is completed once the required activities have been completed.;in StartUpMode Controller shall eventually satisfy initStart & (initDone | (initFail & OutOfServiceWarning & FailSafeMode));((H (((! StartUpMode) & (Y StartUpMode)) -> (Y (! ((! (initStart & (initDone | ((initFail & OutOfServiceWarning) & FailSafeMode)))) S ((! (initStart & (initDone | ((initFail & OutOfServiceWarning) & FailSafeMode)))) & (StartUpMode & (Z (! StartUpMode))))))))) & (((! ((! StartUpMode) & (Y StartUpMode))) S ((! ((! StartUpMode) & (Y StartUpMode))) & (StartUpMode & (Z (! StartUpMode))))) -> (! ((! (initStart & (initDone | ((initFail & OutOfServiceWarning) & FailSafeMode)))) S ((! (initStart & (initDone | ((initFail & OutOfServiceWarning) & FailSafeMode)))) & (StartUpMode & (Z (! StartUpMode))))))));
CONT.1.3;VentilationOff: In ventilation off, the machine does not ventilate, the in valve is closed and the out valve is opened.;in StandbyMode Controller shall always satisfy ventilationOff & inValveClose & outValveOpen;(H (StandbyMode -> ((ventilationOff & inValveClose) & outValveOpen)));
CONT.1.6;Fail-safe: the controller forces input and output valves to their de-energized states (in valve close and out valve open);in FailSafeMode Controller shall always satisfy inValveClose & outValveOpen;(H (FailSafeMode -> (inValveClose & outValveOpen)));
CONT.2;The transition to Start-up Mode shall be allowed by pushing the power button located on the back side of the ventilator unit to turn it on.;if powerOff & !powerButton Controller shall always satisfy !StartUpMode;(H ((H (! (powerOff & (! powerButton)))) | (! StartUpMode)));
CONT.3;The transition from Start-up Mode to Self test Mode shall occur once the configurations have been loaded and the internal checking is terminated.;in StartUpMode when initDone Controller shall at the next timepoint satisfy SelfTestMode;((H (((! StartUpMode) & (Y StartUpMode)) -> (Y (((Y (initDone & ((Y (! initDone)) | (StartUpMode & (Z (! StartUpMode)))))) -> (SelfTestMode | (StartUpMode & (Z (! StartUpMode))))) S (((Y (initDone & ((Y (! initDone)) | (StartUpMode & (Z (! StartUpMode)))))) -> (SelfTestMode | (StartUpMode & (Z (! StartUpMode))))) & (StartUpMode & (Z (! StartUpMode)))))))) & (((! ((! StartUpMode) & (Y StartUpMode))) S ((! ((! StartUpMode) & (Y StartUpMode))) & (StartUpMode & (Z (! StartUpMode))))) -> (((Y (initDone & ((Y (! initDone)) | (StartUpMode & (Z (! StartUpMode)))))) -> (SelfTestMode | (StartUpMode & (Z (! StartUpMode))))) S (((Y (initDone & ((Y (! initDone)) | (StartUpMode & (Z (! StartUpMode)))))) -> (SelfTestMode | (StartUpMode & (Z (! StartUpMode))))) & (StartUpMode & (Z (! StartUpMode)))))));
CONT.4;The transition from Self-Test Mode to VentilationOff Mode shall occur:;in SelfTestMode if selfTestPassed | GUIResumeRequest Controller shall at the next timepoint satisfy StandbyMode;((H (((! SelfTestMode) & (Y SelfTestMode)) -> (Y (((Y ((selfTestPassed | GUIResumeRequest) & ((Y (! (selfTestPassed | GUIResumeRequest))) | (SelfTestMode & (Z (! SelfTestMode)))))) -> (StandbyMode | (SelfTestMode & (Z (! SelfTestMode))))) S (((Y ((selfTestPassed | GUIResumeRequest) & ((Y (! (selfTestPassed | GUIResumeRequest))) | (SelfTestMode & (Z (! SelfTestMode)))))) -> (StandbyMode | (SelfTestMode & (Z (! SelfTestMode))))) & (SelfTestMode & (Z (! SelfTestMode)))))))) & (((! ((! SelfTestMode) & (Y SelfTestMode))) S ((! ((! SelfTestMode) & (Y SelfTestMode))) & (SelfTestMode & (Z (! SelfTestMode))))) -> (((Y ((selfTestPassed | GUIResumeRequest) & ((Y (! (selfTestPassed | GUIResumeRequest))) | (SelfTestMode & (Z (! SelfTestMode)))))) -> (StandbyMode | (SelfTestMode & (Z (! SelfTestMode))))) S (((Y ((selfTestPassed | GUIResumeRequest) & ((Y (! (selfTestPassed | GUIResumeRequest))) | (SelfTestMode & (Z (! SelfTestMode)))))) -> (StandbyMode | (SelfTestMode & (Z (! SelfTestMode))))) & (SelfTestMode & (Z (! SelfTestMode)))))));
CONT.5;The transition from VentilationOff to PSV shall occur if the change mode command is received from the GUI.;in StandbyMode if PSVModeSelected Controller shall at the next timepoint satisfy PSVMode;((H (((! StandbyMode) & (Y StandbyMode)) -> (Y (((Y (PSVModeSelected & ((Y (! PSVModeSelected)) | (StandbyMode & (Z (! StandbyMode)))))) -> (PSVMode | (StandbyMode & (Z (! StandbyMode))))) S (((Y (PSVModeSelected & ((Y (! PSVModeSelected)) | (StandbyMode & (Z (! StandbyMode)))))) -> (PSVMode | (StandbyMode & (Z (! StandbyMode))))) & (StandbyMode & (Z (! StandbyMode)))))))) & (((! ((! StandbyMode) & (Y StandbyMode))) S ((! ((! StandbyMode) & (Y StandbyMode))) & (StandbyMode & (Z (! StandbyMode))))) -> (((Y (PSVModeSelected & ((Y (! PSVModeSelected)) | (StandbyMode & (Z (! StandbyMode)))))) -> (PSVMode | (StandbyMode & (Z (! StandbyMode))))) S (((Y (PSVModeSelected & ((Y (! PSVModeSelected)) | (StandbyMode & (Z (! StandbyMode)))))) -> (PSVMode | (StandbyMode & (Z (! StandbyMode))))) & (StandbyMode & (Z (! StandbyMode)))))));
CONT.6;The transition from VentilationOff to PCV mode shall occur if the change mode command is received from the GUI.;in StandbyMode if PCVModeSelected Controller shall at the next timepoint satisfy PCVMode;((H (((! StandbyMode) & (Y StandbyMode)) -> (Y (((Y (PCVModeSelected & ((Y (! PCVModeSelected)) | (StandbyMode & (Z (! StandbyMode)))))) -> (PCVMode | (StandbyMode & (Z (! StandbyMode))))) S (((Y (PCVModeSelected & ((Y (! PCVModeSelected)) | (StandbyMode & (Z (! StandbyMode)))))) -> (PCVMode | (StandbyMode & (Z (! StandbyMode))))) & (StandbyMode & (Z (! StandbyMode)))))))) & (((! ((! StandbyMode) & (Y StandbyMode))) S ((! ((! StandbyMode) & (Y StandbyMode))) & (StandbyMode & (Z (! StandbyMode))))) -> (((Y (PCVModeSelected & ((Y (! PCVModeSelected)) | (StandbyMode & (Z (! StandbyMode)))))) -> (PCVMode | (StandbyMode & (Z (! StandbyMode))))) S (((Y (PCVModeSelected & ((Y (! PCVModeSelected)) | (StandbyMode & (Z (! StandbyMode)))))) -> (PCVMode | (StandbyMode & (Z (! StandbyMode))))) & (StandbyMode & (Z (! StandbyMode)))))));
CONT.7;The transition from PCV to PSV shall occur if ventilation is on, the transition from PCV to PSV shall occur at the end of a PCV inspiratory time if the change mode command has been received from the GUI.;in PCVMode if inspiratoryPhaseEnd & PSVModeSelected Controller shall at the next timepoint satisfy ventilating & PSVMode;((H (((! PCVMode) & (Y PCVMode)) -> (Y (((Y ((inspiratoryPhaseEnd & PSVModeSelected) & ((Y (! (inspiratoryPhaseEnd & PSVModeSelected))) | (PCVMode & (Z (! PCVMode)))))) -> ((ventilating & PSVMode) | (PCVMode & (Z (! PCVMode))))) S (((Y ((inspiratoryPhaseEnd & PSVModeSelected) & ((Y (! (inspiratoryPhaseEnd & PSVModeSelected))) | (PCVMode & (Z (! PCVMode)))))) -> ((ventilating & PSVMode) | (PCVMode & (Z (! PCVMode))))) & (PCVMode & (Z (! PCVMode)))))))) & (((! ((! PCVMode) & (Y PCVMode))) S ((! ((! PCVMode) & (Y PCVMode))) & (PCVMode & (Z (! PCVMode))))) -> (((Y ((inspiratoryPhaseEnd & PSVModeSelected) & ((Y (! (inspiratoryPhaseEnd & PSVModeSelected))) | (PCVMode & (Z (! PCVMode)))))) -> ((ventilating & PSVMode) | (PCVMode & (Z (! PCVMode))))) S (((Y ((inspiratoryPhaseEnd & PSVModeSelected) & ((Y (! (inspiratoryPhaseEnd & PSVModeSelected))) | (PCVMode & (Z (! PCVMode)))))) -> ((ventilating & PSVMode) | (PCVMode & (Z (! PCVMode))))) & (PCVMode & (Z (! PCVMode)))))));
CONT.8;The transition from PCV to VentilationOff shall occur if the user stops the ventilation in PCV mode.;in PCVMode if stopVentilation Controller shall at the next timepoint satisfy StandbyMode;((H (((! PCVMode) & (Y PCVMode)) -> (Y (((Y (stopVentilation & ((Y (! stopVentilation)) | (PCVMode & (Z (! PCVMode)))))) -> (StandbyMode | (PCVMode & (Z (! PCVMode))))) S (((Y (stopVentilation & ((Y (! stopVentilation)) | (PCVMode & (Z (! PCVMode)))))) -> (StandbyMode | (PCVMode & (Z (! PCVMode))))) & (PCVMode & (Z (! PCVMode)))))))) & (((! ((! PCVMode) & (Y PCVMode))) S ((! ((! PCVMode) & (Y PCVMode))) & (PCVMode & (Z (! PCVMode))))) -> (((Y (stopVentilation & ((Y (! stopVentilation)) | (PCVMode & (Z (! PCVMode)))))) -> (StandbyMode | (PCVMode & (Z (! PCVMode))))) S (((Y (stopVentilation & ((Y (! stopVentilation)) | (PCVMode & (Z (! PCVMode)))))) -> (StandbyMode | (PCVMode & (Z (! PCVMode))))) & (PCVMode & (Z (! PCVMode)))))));
CONT.9;The transition from PSV to PCV shall occur if the patient does not trigger a breath within the time of the apnea trigger window. The switch shall occur with respiratory rate, target inspiratory pressure and I:E defined for the apnea backup mode.;in PSVMode when breathingTime >= apneaLagTime Controller shall at the next timepoint satisfy PCVMode & RR = RR_AP & P_insp = P_inspAP & IToE = IToE_AP;((H (((! PSVMode) & (Y PSVMode)) -> (Y (((Y ((breathingTime >= apneaLagTime) & ((Y (! (breathingTime >= apneaLagTime))) | (PSVMode & (Z (! PSVMode)))))) -> ((((PCVMode & (RR = RR_AP)) & (P_insp = P_inspAP)) & (IToE = IToE_AP)) | (PSVMode & (Z (! PSVMode))))) S (((Y ((breathingTime >= apneaLagTime) & ((Y (! (breathingTime >= apneaLagTime))) | (PSVMode & (Z (! PSVMode)))))) -> ((((PCVMode & (RR = RR_AP)) & (P_insp = P_inspAP)) & (IToE = IToE_AP)) | (PSVMode & (Z (! PSVMode))))) & (PSVMode & (Z (! PSVMode)))))))) & (((! ((! PSVMode) & (Y PSVMode))) S ((! ((! PSVMode) & (Y PSVMode))) & (PSVMode & (Z (! PSVMode))))) -> (((Y ((breathingTime >= apneaLagTime) & ((Y (! (breathingTime >= apneaLagTime))) | (PSVMode & (Z (! PSVMode)))))) -> ((((PCVMode & (RR = RR_AP)) & (P_insp = P_inspAP)) & (IToE = IToE_AP)) | (PSVMode & (Z (! PSVMode))))) S (((Y ((breathingTime >= apneaLagTime) & ((Y (! (breathingTime >= apneaLagTime))) | (PSVMode & (Z (! PSVMode)))))) -> ((((PCVMode & (RR = RR_AP)) & (P_insp = P_inspAP)) & (IToE = IToE_AP)) | (PSVMode & (Z (! PSVMode))))) & (PSVMode & (Z (! PSVMode)))))));
CONT.10;The transition from PSV to VentilationOff shall occur if the user stops the ventilation in PSV mode.;in PSVMode if stopVentilation Controller shall at the next timepoint satisfy StandbyMode;((H (((! PSVMode) & (Y PSVMode)) -> (Y (((Y (stopVentilation & ((Y (! stopVentilation)) | (PSVMode & (Z (! PSVMode)))))) -> (StandbyMode | (PSVMode & (Z (! PSVMode))))) S (((Y (stopVentilation & ((Y (! stopVentilation)) | (PSVMode & (Z (! PSVMode)))))) -> (StandbyMode | (PSVMode & (Z (! PSVMode))))) & (PSVMode & (Z (! PSVMode)))))))) & (((! ((! PSVMode) & (Y PSVMode))) S ((! ((! PSVMode) & (Y PSVMode))) & (PSVMode & (Z (! PSVMode))))) -> (((Y (stopVentilation & ((Y (! stopVentilation)) | (PSVMode & (Z (! PSVMode)))))) -> (StandbyMode | (PSVMode & (Z (! PSVMode))))) S (((Y (stopVentilation & ((Y (! stopVentilation)) | (PSVMode & (Z (! PSVMode)))))) -> (StandbyMode | (PSVMode & (Z (! PSVMode))))) & (PSVMode & (Z (! PSVMode)))))));
CONT.46;The controller cannot return from fail-safe mode to any other mode without a power cycle (turn off and then turn on the machine).;after FailSafeMode Controller shall until off satisfy !(StartUpMode | SelfTestMode | StandbyMode | PCVMode | PSVMode);((O (((! FailSafeMode) & (Y FailSafeMode)) & (Y (H (! ((! FailSafeMode) & (Y FailSafeMode))))))) -> ((((! off) S ((! off) & (((! FailSafeMode) & (Y FailSafeMode)) & (Y (H (! ((! FailSafeMode) & (Y FailSafeMode)))))))) -> (! ((((StartUpMode | SelfTestMode) | StandbyMode) | PCVMode) | PSVMode))) S ((((! off) S ((! off) & (((! FailSafeMode) & (Y FailSafeMode)) & (Y (H (! ((! FailSafeMode) & (Y FailSafeMode)))))))) -> (! ((((StartUpMode | SelfTestMode) | StandbyMode) | PCVMode) | PSVMode))) & (((! FailSafeMode) & (Y FailSafeMode)) & (Y (H (! ((! FailSafeMode) & (Y FailSafeMode)))))))));
CONT.11;Final State shall be reached by pushing the power button located on the back side of the ventilator unit to turn it off.;if powerOff Controller shall at the next timepoint satisfy FinalState;(H ((Y (powerOff & (Z (! powerOff)))) -> (FinalState | (! (Y TRUE)))));
CONT.11.1;During Final state, all parameters (if any) are to be safely stored before the final state is complete and the unit is de-energized.;in FinalState Controller shall eventually satisfy parametersStored & off;((H (((! FinalState) & (Y FinalState)) -> (Y (! ((! (parametersStored & off)) S ((! (parametersStored & off)) & (FinalState & (Z (! FinalState))))))))) & (((! ((! FinalState) & (Y FinalState))) S ((! ((! FinalState) & (Y FinalState))) & (FinalState & (Z (! FinalState))))) -> (! ((! (parametersStored & off)) S ((! (parametersStored & off)) & (FinalState & (Z (! FinalState))))))));
CONT.12;A set of default values for all parameters shall be provided and loaded from a configuration file on the machine when it is turned on. The parameters are listed in Section 3.1.1.;in StartUpMode Controller shall eventually satisfy defaultParamsLoaded;((H (((! StartUpMode) & (Y StartUpMode)) -> (Y (! ((! defaultParamsLoaded) S ((! defaultParamsLoaded) & (StartUpMode & (Z (! StartUpMode))))))))) & (((! ((! StartUpMode) & (Y StartUpMode))) S ((! ((! StartUpMode) & (Y StartUpMode))) & (StartUpMode & (Z (! StartUpMode))))) -> (! ((! defaultParamsLoaded) S ((! defaultParamsLoaded) & (StartUpMode & (Z (! StartUpMode))))))));
CONT.13;The controller shall check the communication of the controller with the sensors and valves.;in StartUpMode Controller shall eventually satisfy checkCommsSensors & checkCommsValves;((H (((! StartUpMode) & (Y StartUpMode)) -> (Y (! ((! (checkCommsSensors & checkCommsValves)) S ((! (checkCommsSensors & checkCommsValves)) & (StartUpMode & (Z (! StartUpMode))))))))) & (((! ((! StartUpMode) & (Y StartUpMode))) S ((! ((! StartUpMode) & (Y StartUpMode))) & (StartUpMode & (Z (! StartUpMode))))) -> (! ((! (checkCommsSensors & checkCommsValves)) S ((! (checkCommsSensors & checkCommsValves)) & (StartUpMode & (Z (! StartUpMode))))))));
CONT.14;The controller shall check the communication of the controller with GUI.;in StartUpMode Controller shall eventually satisfy checkCommsGUI;((H (((! StartUpMode) & (Y StartUpMode)) -> (Y (! ((! checkCommsGUI) S ((! checkCommsGUI) & (StartUpMode & (Z (! StartUpMode))))))))) & (((! ((! StartUpMode) & (Y StartUpMode))) S ((! ((! StartUpMode) & (Y StartUpMode))) & (StartUpMode & (Z (! StartUpMode))))) -> (! ((! checkCommsGUI) S ((! checkCommsGUI) & (StartUpMode & (Z (! StartUpMode))))))));
CONT.15;If the pressure sensor fails to connect or reports an error condition after a fixed number of retries (maximum 5), the controller shall transition to the fail-safe mode.;in StartUpMode if pressureSensorRetries >= 5 & (pressureSensorConnFailure | pressureSensorError) Controller shall at the next timepoint satisfy FailSafeMode;((H (((! StartUpMode) & (Y StartUpMode)) -> (Y (((Y (((pressureSensorRetries >= 5) & (pressureSensorConnFailure | pressureSensorError)) & ((Y (! ((pressureSensorRetries >= 5) & (pressureSensorConnFailure | pressureSensorError)))) | (StartUpMode & (Z (! StartUpMode)))))) -> (FailSafeMode | (StartUpMode & (Z (! StartUpMode))))) S (((Y (((pressureSensorRetries >= 5) & (pressureSensorConnFailure | pressureSensorError)) & ((Y (! ((pressureSensorRetries >= 5) & (pressureSensorConnFailure | pressureSensorError)))) | (StartUpMode & (Z (! StartUpMode)))))) -> (FailSafeMode | (StartUpMode & (Z (! StartUpMode))))) & (StartUpMode & (Z (! StartUpMode)))))))) & (((! ((! StartUpMode) & (Y StartUpMode))) S ((! ((! StartUpMode) & (Y StartUpMode))) & (StartUpMode & (Z (! StartUpMode))))) -> (((Y (((pressureSensorRetries >= 5) & (pressureSensorConnFailure | pressureSensorError)) & ((Y (! ((pressureSensorRetries >= 5) & (pressureSensorConnFailure | pressureSensorError)))) | (StartUpMode & (Z (! StartUpMode)))))) -> (FailSafeMode | (StartUpMode & (Z (! StartUpMode))))) S (((Y (((pressureSensorRetries >= 5) & (pressureSensorConnFailure | pressureSensorError)) & ((Y (! ((pressureSensorRetries >= 5) & (pressureSensorConnFailure | pressureSensorError)))) | (StartUpMode & (Z (! StartUpMode)))))) -> (FailSafeMode | (StartUpMode & (Z (! StartUpMode))))) & (StartUpMode & (Z (! StartUpMode)))))));
CONT.16;If the external ADC fails to initialize or reports an error condition after a fixed number of retries (maximum 5), the controller shall transition to the fail-safe mode.;in StartUpMode if ADCRetries >= 5 & (ADCConnFailure | ADCError) Controller shall at the next timepoint satisfy FailSafeMode;((H (((! StartUpMode) & (Y StartUpMode)) -> (Y (((Y (((ADCRetries >= 5) & (ADCConnFailure | ADCError)) & ((Y (! ((ADCRetries >= 5) & (ADCConnFailure | ADCError)))) | (StartUpMode & (Z (! StartUpMode)))))) -> (FailSafeMode | (StartUpMode & (Z (! StartUpMode))))) S (((Y (((ADCRetries >= 5) & (ADCConnFailure | ADCError)) & ((Y (! ((ADCRetries >= 5) & (ADCConnFailure | ADCError)))) | (StartUpMode & (Z (! StartUpMode)))))) -> (FailSafeMode | (StartUpMode & (Z (! StartUpMode))))) & (StartUpMode & (Z (! StartUpMode)))))))) & (((! ((! StartUpMode) & (Y StartUpMode))) S ((! ((! StartUpMode) & (Y StartUpMode))) & (StartUpMode & (Z (! StartUpMode))))) -> (((Y (((ADCRetries >= 5) & (ADCConnFailure | ADCError)) & ((Y (! ((ADCRetries >= 5) & (ADCConnFailure | ADCError)))) | (StartUpMode & (Z (! StartUpMode)))))) -> (FailSafeMode | (StartUpMode & (Z (! StartUpMode))))) S (((Y (((ADCRetries >= 5) & (ADCConnFailure | ADCError)) & ((Y (! ((ADCRetries >= 5) & (ADCConnFailure | ADCError)))) | (StartUpMode & (Z (! StartUpMode)))))) -> (FailSafeMode | (StartUpMode & (Z (! StartUpMode))))) & (StartUpMode & (Z (! StartUpMode)))))));
CONT.18;During the self test mode the controller shall perform the self-test specified in the FUN.6.;in SelfTestMode Controller shall eventually satisfy selfTestPassed | selfTestFailed;((H (((! SelfTestMode) & (Y SelfTestMode)) -> (Y (! ((! (selfTestPassed | selfTestFailed)) S ((! (selfTestPassed | selfTestFailed)) & (SelfTestMode & (Z (! SelfTestMode))))))))) & (((! ((! SelfTestMode) & (Y SelfTestMode))) S ((! ((! SelfTestMode) & (Y SelfTestMode))) & (SelfTestMode & (Z (! SelfTestMode))))) -> (! ((! (selfTestPassed | selfTestFailed)) S ((! (selfTestPassed | selfTestFailed)) & (SelfTestMode & (Z (! SelfTestMode))))))));
CONT.19;If the SelfTest fails, the controller shall not be able to proceed to ventilation.;in SelfTestMode if SelfTestFail Controller shall until off satisfy !StandbyMode & !ventilating;((H (((! SelfTestMode) & (Y SelfTestMode)) -> (Y ((((! SelfTestFail) S ((! SelfTestFail) & (SelfTestMode & (Z (! SelfTestMode))))) | (((! off) S ((! off) & (SelfTestFail & ((Y (! SelfTestFail)) | (SelfTestMode & (Z (! SelfTestMode))))))) -> ((! StandbyMode) & (! ventilating)))) S ((((! SelfTestFail) S ((! SelfTestFail) & (SelfTestMode & (Z (! SelfTestMode))))) | (((! off) S ((! off) & (SelfTestFail & ((Y (! SelfTestFail)) | (SelfTestMode & (Z (! SelfTestMode))))))) -> ((! StandbyMode) & (! ventilating)))) & (SelfTestMode & (Z (! SelfTestMode)))))))) & (((! ((! SelfTestMode) & (Y SelfTestMode))) S ((! ((! SelfTestMode) & (Y SelfTestMode))) & (SelfTestMode & (Z (! SelfTestMode))))) -> ((((! SelfTestFail) S ((! SelfTestFail) & (SelfTestMode & (Z (! SelfTestMode))))) | (((! off) S ((! off) & (SelfTestFail & ((Y (! SelfTestFail)) | (SelfTestMode & (Z (! SelfTestMode))))))) -> ((! StandbyMode) & (! ventilating)))) S ((((! SelfTestFail) S ((! SelfTestFail) & (SelfTestMode & (Z (! SelfTestMode))))) | (((! off) S ((! off) & (SelfTestFail & ((Y (! SelfTestFail)) | (SelfTestMode & (Z (! SelfTestMode))))))) -> ((! StandbyMode) & (! ventilating)))) & (SelfTestMode & (Z (! SelfTestMode)))))));
CONT.20;In PCV mode the breathing cycle shall be defined by inspiratory pressure Pinsp PCV relative to atmosphere, respiratory rate (RRPCV ) and the ratio between the inspiratory and expiratory times (I:EPCV ).;in PCVMode Controller shall always satisfy breathingCycleTime = 1/RR_PCV & ExpiratoryTime = breathingCycleTime / (1+ItoE_PCV);(H (PCVMode -> ((breathingCycleTime = (1 / RR_PCV)) & (ExpiratoryTime = (breathingCycleTime / (1 + ItoE_PCV))))));
